customer_unique_id,customer_type,language,customer_category,date_of_birth,minor,sex,marital_status
28551001,I,ENG,IND,1975-09-16 00:00:00,N,M,M
93581002,I,ENG,IND,1969-04-02 00:00:00,N,M,M
96591002,I,ENG,IND,1983-05-25 00:00:00,N,M,M
2521003,I,ENG,IND,1980-01-10 00:00:00,N,M,M
16561004,I,ENG,IND,1964-01-29 00:00:00,N,M,M
72531004,I,ENG,IND,1980-08-15 00:00:00,N,M,M
7591005,I,ENG,IND,1982-12-12 00:00:00,N,M,S
25561005,I,ENG,IND,1982-04-20 00:00:00,N,M,S
31551005,I,ENG,IND,1977-02-06 00:00:00,N,M,S
51561005,I,ENG,IND,1980-05-25 00:00:00,N,M,M
24571007,I,ENG,IND,1981-06-16 00:00:00,N,F,S
44551007,I,ENG,IND,1978-05-15 00:00:00,N,M,S
51561008,I,ENG,IND,1973-07-01 00:00:00,N,M,S
56551008,I,ENG,IND,1973-04-23 00:00:00,N,M,S
25641000,I,ENG,IND,1972-12-05 00:00:00,N,M,M
66671000,I,ENG,IND,1972-04-16 00:00:00,N,M,M
3621001,I,ENG,IND,1980-06-14 00:00:00,N,F,S
66631001,I,ENG,IND,1982-02-02 00:00:00,N,M,S
93631001,I,ENG,IND,1968-07-04 00:00:00,N,M,M
77651002,I,ENG,IND,1972-11-16 00:00:00,N,M,M
46691003,I,ENG,IND,1960-06-16 00:00:00,N,M,M
48631004,I,ENG,IND,1976-10-20 00:00:00,N,F,M
85661005,I,ENG,IND,1982-09-14 00:00:00,N,F,S
86661005,I,ENG,IND,1980-04-21 00:00:00,N,M,S
86671005,I,ENG,IND,1980-03-04 00:00:00,N,M,S
99621005,I,ENG,IND,1982-04-20 00:00:00,N,M,S
98681006,I,ENG,RSA,1978-04-24 00:00:00,N,M,S
20661007,I,ENG,IND,1979-05-21 00:00:00,N,F,S
96601007,I,ENG,IND,1981-05-20 00:00:00,N,M,S
27601008,I,ENG,IND,1971-06-03 00:00:00,N,M,S
67691008,I,ENG,IND,1979-04-21 00:00:00,N,F,S
76631008,I,ENG,IND,1972-12-22 00:00:00,N,M,M
89681008,I,ENG,IND,1967-10-03 00:00:00,N,F,M
84711000,I,ENG,IND,1984-07-13 00:00:00,N,F,S
37741001,I,ENG,IND,1969-05-11 00:00:00,N,M,M
48701002,I,ENG,IND,1970-03-13 00:00:00,N,M,S
7711003,I,ENG,IND,1971-11-09 00:00:00,N,M,M
58741003,I,ENG,IND,1983-01-11 00:00:00,N,F,S
53741004,I,ENG,IND,1980-08-28 00:00:00,N,M,M
78781004,I,ENG,IND,1969-08-02 00:00:00,N,M,M
24761005,I,ENG,IND,1962-08-04 00:00:00,N,M,M
31741006,I,ENG,IND,1958-11-28 00:00:00,N,M,M
54791006,I,ENG,IND,1957-09-27 00:00:00,N,M,M
67731006,I,ENG,IND,1900-01-01 00:00:00,N,M,M
6771008,I,ENG,IND,1980-08-18 00:00:00,N,F,M
81731008,I,ENG,IND,1971-02-24 00:00:00,N,M,M
1861000,I,ENG,IND,1975-10-23 00:00:00,N,M,M
13831000,I,ENG,IND,1960-05-05 00:00:00,N,M,S
30821000,I,ENG,IND,1982-03-18 00:00:00,N,M,M
31831000,I,ENG,IND,1972-10-16 00:00:00,N,M,S
32891000,I,ENG,IND,1966-06-20 00:00:00,N,M,M
44841000,I,ENG,IND,1969-08-26 00:00:00,N,M,M
45871000,I,ENG,IND,1963-09-13 00:00:00,N,M,M
51821000,I,ENG,IND,1981-06-02 00:00:00,N,M,M
52841000,I,ENG,IND,1969-12-09 00:00:00,N,M,M
58851000,I,ENG,IND,1978-10-20 00:00:00,N,M,M
60861000,I,ENG,IND,1981-11-15 00:00:00,N,M,M
63841000,I,ENG,IND,1976-06-18 00:00:00,N,M,M
66811000,I,ENG,IND,1976-07-31 00:00:00,N,M,M
68891000,I,ENG,IND,1975-07-05 00:00:00,N,M,M
71891000,I,ENG,IND,1972-05-24 00:00:00,N,M,M
81881000,I,ENG,IND,1975-09-12 00:00:00,N,M,M
93871000,I,ENG,IND,1973-02-20 00:00:00,N,M,M
96801000,I,ENG,IND,1967-11-15 00:00:00,N,M,M
18851001,I,ENG,IND,1975-05-05 00:00:00,N,M,M
70801001,I,ENG,IND,1967-08-15 00:00:00,N,M,M
9841002,I,ENG,IND,1971-01-21 00:00:00,N,M,M
18881002,I,ENG,IND,1977-06-10 00:00:00,N,M,M
31891002,I,ENG,IND,1976-01-28 00:00:00,N,M,S
33891002,I,ENG,IND,1974-10-09 00:00:00,N,M,M
42811002,I,ENG,IND,1982-12-19 00:00:00,N,M,S
45881002,I,ENG,IND,1977-09-20 00:00:00,N,M,M
50851002,I,ENG,IND,1977-05-04 00:00:00,N,M,S
54821002,I,ENG,IND,1972-03-16 00:00:00,N,M,M
56851002,I,ENG,IND,1975-10-03 00:00:00,N,M,M
62801002,I,ENG,IND,1976-12-12 00:00:00,N,M,M
68851002,I,ENG,IND,1977-11-14 00:00:00,N,M,S
70851002,I,ENG,IND,1981-09-23 00:00:00,N,M,S
75811002,I,ENG,IND,1978-12-14 00:00:00,N,M,S
