customer_unique_id,amount,tenor,date_difference
904615005,120000.0,63.0,63.0
909181003,900000.0,75.33333333333333,75.0
917835007,100000.0,50.0,50.0
921197004,1050000.0,90.0,89.5
923197004,1175000.0,120.0,120.0
929186008,150000.0,79.0,79.0
947505000,12000000.0,60.0,59.0
947676000,250000.0,70.0,70.0
964805003,354000.0,37.0,37.0
968509008,100000.0,30.0,30.0
970456006,2000000.0,184.0,184.0
971296004,100000.0,44.0,44.0
976306005,100000.0,7.0,7.0
980587000,448000.0,117.0,117.0
990950005,250000.0,30.0,30.0
997976008,1300000.0,60.0,60.0
