customer_unique_id,acy_avl_bal
27934000,0.74
28086000,3083.49
28097000,1355.75
28103006,18018.66
28124005,223.85
28132016,105729.17
28206009,61.01
28278008,1303.72
28301019,49.65
28435002,20.32
28471000,-7576236.539999999
28551001,95.36
28635005,230720.03
28645002,176062.36
28687004,12.37
28712004,1619.88
28945006,423.7
28955005,100625.19
29028008,129022.26
29232002,29770.57
29249004,1.8
29281001,72870.67
29312001,-213.64
29313003,377798.58999999997
29333010,425567.24
29364003,6006.27
29372012,3.14
29403012,-102.22
29504008,81693.44
29513019,-250.24
29545008,24.5
29574000,1507749.28
29583005,5061.38
29597008,15056.09
29813010,22577.66
29841019,265.55
29903010,14799.550000000001
29941004,63191.92
29968001,43364.49
30030015,88513.32
30032000,78.2
30061002,31.44
30147006,1.38
30243001,12.51
30244008,3436.7999999999997
30253003,7.36
30330005,49467.18
30332012,66.84
30336004,300.85
30348009,78.56
30402007,13330.97
30526015,261.44
30666015,127.28
30726006,925.4
30802000,4021.83
30821000,3797.13
30837003,-64.91
30911014,75744.91
30925000,91.06
30939006,54087.79
31300013,58.5
31304009,24252.08
31396002,43.75
31453007,-155373.33000000002
31551005,7223.34
31582005,77327.06
31612007,178.57
31620001,1491.28
31713014,129856.3
31741006,855.28
31773000,62509.41
31831000,65.87
31841010,74.98
31848005,1135.09
31861008,2033.26
31873007,244313.35
31891002,18314.78
31905005,431.0
31928005,40982.303
31935005,20450.15
32006006,-52.48
32016006,30.0
32022005,-13747362.049999999
32026002,373.54
32033016,400.52
32092013,117922.02
32132018,1868.77
32215008,178.76
32225004,-75853.31999999999
32278000,12440.3
32295008,17382.41
32493006,446.40000000000003
32664017,-52.2
32785007,291.77
32862016,598797.73
32891000,9392.04
33020001,3.73
33076000,399010.41
33245000,-116149.79
33302003,6206.25
33335008,196453.23
33478003,376.65999999999997
33504002,2308.5
33511012,-49.82
33553018,172.67000000000002
33606009,28.06
33695005,8338.44
33733007,320.67
33746001,-154499.47
33883010,-157.5
33891002,12405.36
33989004,8273.1
34074005,169679.23
34084000,76.24
34145013,4.88
34194018,-32.93
34263007,4278.599999999999
34274009,1772.0
34316008,49.59
34344005,4.56
34368004,12286.34
34404000,-63329.36
34439006,50026.25
34503001,699939.9299999999
34562015,602075.19
34574000,154704.27000000002
34650017,2267.77
34673005,1385.99
34686016,75.88
34725003,61277.59
34860008,80295.86
34905003,115075.43
34911004,17390.25
34951009,12.34
35057017,-104.09
35071000,419970.33
35135006,2812.43
35184019,107.39
35204014,-42028.28
35346007,-52.5
35466008,994.82
35473005,122.5
35483018,33.14
35544014,-6.02
35559008,-46.39
35600006,21826.46
35653017,4013.78
35681011,109942.42
35697001,325.4
35733014,184.39
35911008,130995.73
35975006,59856.64
36033007,-394906.01
36043007,79820.11
36062007,205480.74
36131004,130547.67
36194004,1186.3300000000002
36233007,98194.42
36282008,-52.5
36313010,21.73
36326009,89.78
36379009,-15000.0
36387002,15.39
36594017,27.93
36841007,45777.34
36900017,143.9
36964006,51321.939999999995
36994006,9.81
37003016,2089.0
37046002,7224.43
37094012,26.73
37234004,13.44
37319008,952.09
37333011,-277.16
37344004,3020.96
37363010,78.74
37393011,73.24
37533002,-40169.71
37679007,5138.1
37710014,197.94
37741001,16757678.350000001
37863014,32.72
37903003,496.08
37935010,87975.03
37952018,76.7
38002005,4006.46
38037008,9278.85
38116001,213849.09
38117006,-142500.5
38239001,-52.46
38394004,-18.74
38540008,370.82
38614003,1214.22
38702001,50214.56
38843008,80.13
38898001,226.27
38921016,15.01
38971009,86439.7
39013013,9.07
39068008,3.64
39114005,8464.84
39137004,70415.37
39183015,277.57
39193007,88883.64
39264007,3125.76
39313011,2688.52
39333010,240.81
39354014,28514.97
39396007,1796.04
39436002,11521.09
39515017,4.0
39618008,95.31
39680007,7850.88
39814011,21.72
39816008,810257.43
39833008,261.52
39855004,-51390.5
39903009,3.72
39985004,3226.61
40032008,0.71
40052017,115.09
40104005,9603.75
40132004,3.11
40153008,2949.83
40353010,132.95
40393011,246.25
40491009,35.85
40495008,51.52
40563000,22.12
40575001,8011.66
40698003,30500.83
41042013,17.53
41064004,3795.33
41078002,47.96
41166004,491.83500000000004
41173014,43.64
41286001,1122.28
41381013,20020.23
41404018,90.91
41520011,33.78
41572014,1.71
41627002,10110.04
41632019,1721.45
