customer_unique_id,product_code,account_status,date_difference,amount_financed
11893002,AMPC,L,29.782608695652176,12960.869565217392
11904011,PDLP,L,30.0,4250.0
11926007,PDLP,L,36.81818181818182,27909.090909090908
11935003,AMPC,L,56.470588235294116,124569.17647058824
11961009,PDLP,L,29.923076923076923,11788.461538461539
11976002,PDLP,L,30.0,66666.66666666667
12006003,AMPC,L,29.88235294117647,7882.35294117647
12046004,PDLP,L,30.0,10075.0
12073000,AMPC,L,68.57142857142857,252682.7142857143
12106001,PDLP,L,30.0,53666.666666666664
12253002,AMPC,L,29.93103448275862,14717.241379310344
12274001,AMPC,L,30.0,4888.888888888889
12291004,AMPC,L,34.0,26000.0
12316005,PDLP,L,30.0,33666.666666666664
12323010,AMPC,L,30.0,18533.333333333332
12326000,PDLP,L,30.0,5076.923076923077
12332006,PDLP,L,30.0,15166.666666666666
12333011,AMPC,L,30.0,9777.777777777777
12366019,PDLP,A,30.0,42750.0
12383019,AMPC,L,30.0,19769.23076923077
12417002,PDLP,L,30.0,100000.0
12486004,STPL,A,180.0,372692.0
12526009,PDLP,L,30.0,23600.0
12534003,AMPC,L,30.0,14770.588235294117
12573013,AMPC,L,30.0,4785.714285714285
12650005,PDLP,L,30.0,17800.0
12666002,PDLP,L,36.0,36080.0
12694004,PDLP,L,30.0,33000.0
12731013,AMPC,L,30.0,14555.555555555555
12856015,PDLP,A,30.0,3166.5
12886016,PDLP,L,30.0,87500.0
12905003,AMPC,L,30.0,18750.0
12952005,PDLP,L,30.0,80000.0
12995010,AMPC,L,30.0,9464.285714285714
13080012,PDLP,A,30.0,9711.538461538461
13086009,AMPC,L,30.0,7571.428571428572
13193013,AMPC,L,30.0,21230.76923076923
13231006,PDLP,L,30.0,57909.09060606061
13273001,AMPC,L,30.0,12147.058823529413
13301007,AMPC,L,30.0,15411.764705882353
13316009,AMPC,L,30.0,14307.692307692309
13470007,PDLP,L,30.0,13185.185185185184
13493008,PDLP,L,30.0,10000.0
13496009,PDLP,L,29.571428571428573,14714.285714285714
13505017,AMPC,L,30.0,14500.0
13610014,PDLP,L,30.0,11666.666666666666
13636002,AMPC,L,30.0,7750.0
13637004,PDLP,L,30.0,13000.0
13660010,PDLP,A,30.0,10000.0
13684013,AMPC,L,30.0,4000.0
13694013,PDLP,L,30.0,5083.333333333333
13722009,PDLP,L,29.985185185185184,45537.03703703704
13742010,AMPC,L,46.666666666666664,98777.77777777778
13792005,AMPC,L,29.88235294117647,9205.882352941177
13799006,PDLP,L,30.0,12250.0
13807009,PDLP,L,30.0,11555.555555555555
13831000,AMPC,L,29.857142857142858,10178.75
13834017,PDLP,A,30.0,80000.0
13931016,PDLP,L,30.0,14923.076923076924
13933008,PDLP,L,32.45454545454545,78238.64318181817
13986008,PDLP,L,30.0,45000.0
14101006,AMPC,L,30.0,59480.0
14292017,PDLP,A,30.0,19000.0
14310010,PDLP,L,30.0,6970.588235294118
14354009,AMPC,L,30.0,14758.620689655172
14356004,AMPC,L,30.0,9666.666666666666
14396004,AMPC,L,30.0,10722.222222222223
14410003,PDLP,A,30.0,22300.0
14423005,AMPC,L,30.0,13615.384615384615
14536000,PDLP,L,30.0,28666.666666666668
14581019,AMPC,L,30.0,6444.444444444444
14586007,PDLP,A,30.0,59000.0
14723012,PDLP,A,30.0,5416.666666666667
14823006,PDLP,L,30.0,26500.0
14869004,AMPC,L,30.0,3187.5
14933001,PDLP,L,29.956521739130434,6530.434782608696
14941013,PDLP,L,30.0,14250.0
14972005,PDLP,A,30.0,17375.0
15024003,AMPC,L,52.45454545454545,135890.9090909091
15057011,PDLP,A,30.0,100000.0
15095002,PDLP,L,30.0,56000.0
15254012,AMPC,L,30.0,18636.363636363636
15313011,AMPC,L,30.0,16944.444444444445
15327006,PDLP,L,82.5,69650.0
15356004,AMPC,L,31.65714285714286,39684.0
15393010,AMPC,L,98.78571428571429,13767.265714285715
15415007,AMPC,L,30.0,16764.70588235294
15561013,PDLP,L,30.0,19000.0
15573018,PDLP,L,54.81481481481482,21073.40740740741
15615009,PDLP,L,60.0,215600.0
15665002,PDLP,L,30.0,7600.0
